Swahili,English
neno ,word
epuka ,avoid
uso,face
furiko,flood
cheo,position
ziwa ,lake
homa,fever
nusu,half
funika ,cover
sukuma,push
gusa ,touch
anga,sky
bahati ,luck
ingia ,enter
teso ,suffering
toroka ,escape
